ID,Name,Industry,Inception,Revenue,Expenses,Profit,Growth
1,Lamtone,IT Services,2009,"$11,757,018","$6,482,465 Dollars","$5,274,553",30%
2,Stripfind,Financial,2010,"$12,329,371","$916,455 Dollars","$11,412,916",20%
3,Canecorporation,Health,2012,"$10,597,009","$7,591,189 Dollars","$3,005,820",7%
4,Mattouch,IT Services,2013,"$14,026,934","$7,429,377 Dollars","$6,597,557",26%
5,Techdrill,Health,2009,"$10,573,990","$7,435,363 Dollars","$3,138,627",8%
6,Techline,Health,2006,"$13,898,119","$5,470,303 Dollars","$8,427,816",23%
7,Cityace,Health,2010,"$9,254,614","$6,249,498 Dollars","$3,005,116",6%
8,Kayelectro,Health,2009,"$9,451,943","$3,878,113 Dollars","$5,573,830",4%
9,Ganzlax,IT Services,2011,"$14,001,180","$3,878,153 Dollars","$11,901,180",18%
10,Trantraxlax,Government Services,2011,"$11,088,336","$5,635,276 Dollars","$5,453,060",7%
